"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53873","login page","","Wed Sep 25 23:59:09 IST 2024","passed","Thu Sep 26 00:00:03 IST 2024","","IntainVA","",""
"","10440","Fielddashboard","","Wed Oct 16 10:15:23 IST 2024","broken","Wed Oct 16 10:15:33 IST 2024","","IntainVA - Admin Fielddashboard","",""
"","6344","should verify all the elemets and the login page URL and title","","Wed Sep 25 00:58:21 IST 2024","passed","Wed Sep 25 00:58:27 IST 2024","","Login Page Elements","",""
"","33135","should display an error for incorrect email/password","","Wed Sep 25 12:17:44 IST 2024","passed","Wed Sep 25 12:18:17 IST 2024","","IntainVA Automation","",""
"","42748","should display an error for incorrect arguments , all fields and login with correct credentials","","Wed Oct 16 10:15:22 IST 2024","passed","Wed Oct 16 10:16:05 IST 2024","","IntainVA Automation logIn Page","",""
"","10445","admin processorDashboard Incorrect arguments","","Wed Oct 16 10:15:23 IST 2024","broken","Wed Oct 16 10:15:33 IST 2024","","IntainVA Admin processorDashboard","",""
"","54212","login page","","Wed Oct 16 10:15:22 IST 2024","passed","Wed Oct 16 10:16:17 IST 2024","","IntainVA Processor Dashboard","",""
"","270","processorDashboard correct arguments","","Wed Oct 16 10:15:33 IST 2024","broken","Wed Oct 16 10:15:33 IST 2024","","IntainVA Admin processorDashboard","",""
"","10706","Fielddashboard","","Wed Sep 25 23:59:13 IST 2024","broken","Wed Sep 25 23:59:24 IST 2024","","Fielddashboard","",""
"","12062","should display an error for incorrect email/password","","Tue Sep 24 15:47:08 IST 2024","passed","Tue Sep 24 15:47:20 IST 2024","","IntainVA Automation - Invalid Login Test","",""
"","28055","Dashboard TestCases ","","Wed Oct 16 10:15:48 IST 2024","passed","Wed Oct 16 10:16:16 IST 2024","","IntainVA_adminDashboard","",""
"","31678","login page Successfull test scenario","","Wed Sep 25 00:58:32 IST 2024","passed","Wed Sep 25 00:59:04 IST 2024","","IntainVA Automation","",""
"","11666","processorDashboard Incorrect arguments","","Wed Sep 25 23:59:09 IST 2024","broken","Wed Sep 25 23:59:21 IST 2024","","processorDashboard","",""
"","44372","login page","","Mon Sep 23 12:29:13 IST 2024","passed","Mon Sep 23 12:29:58 IST 2024","","IntainVA Automation","",""
"","11681","should verify all the elemets and the login page URL and title","","Fri Sep 20 11:20:09 IST 2024","failed","Fri Sep 20 11:20:21 IST 2024","","Login Page Elements Tests","",""
"","31603","login page test","","Wed Sep 25 00:44:20 IST 2024","passed","Wed Sep 25 00:44:51 IST 2024","","IntainVA Automation","",""
"","544","processorDashboard correct arguments","","Wed Sep 25 23:59:21 IST 2024","broken","Wed Sep 25 23:59:21 IST 2024","","processorDashboard","",""
